Source Label,Source,Tweet Id,Created at,Text,Post Url,Target Label,Target,Target Tweet,Tweet Type
avocadomatch4,avocadomatch4,1617930341909671936,2023-01-25 00:00:27,RT @SPOTV_Indonesia: #BWF | 💬Komentar 🇮🇩Fajar/Rian yang juga melaju ke babak selanjutnya #IndonesiaMasters2023 setelah kalahkan sesama pebu…,https://twitter.com/avocadomatch4/status/1617930341909671936,SPOTV_Indonesia,SPOTV_Indonesia,https://twitter.com/SPOTV_Indonesia/status/1617891616672612352,Retweet
zahrayatunique,zahrayatunique,1617930841275109376,2023-01-25 00:02:26,"RT @ainurohman: Bermain biasa dan santai2 saja di game 1.

Melakukan tikungan tajam, bikin 5 pts beruntun utk mengambil game 2. 

Tampil se…",https://twitter.com/zahrayatunique/status/1617930841275109376,ainurohman,ainurohman,https://twitter.com/ainurohman/status/1617854173063831559,Retweet
youtipul,youtipul,1617930887051751425,2023-01-25 00:02:37,"RT @BadmintonLive1: Fiuhhhh!! Akhirnya , hrus banget emng bikin jantungan dlu wkwkw

Congrats Bakri!! R16 vs Ren/Tan

#IndonesiaMasters2023…",https://twitter.com/youtipul/status/1617930887051751425,BadmintonLive1,BadmintonLive1,https://twitter.com/BadmintonLive1/status/1617905483687538688,Retweet
nisttatinum,nisttatinum,1617931447733735425,2023-01-25 00:04:51,"RT @ainurohman: Bermain biasa dan santai2 saja di game 1.

Melakukan tikungan tajam, bikin 5 pts beruntun utk mengambil game 2. 

Tampil se…",https://twitter.com/nisttatinum/status/1617931447733735425,ainurohman,ainurohman,https://twitter.com/ainurohman/status/1617854173063831559,Retweet
kembarannyaimas,kembarannyaimas,1617931560157843456,2023-01-25 00:05:18,RT @SPOTV_Indonesia: #BWF | 💬Komentar 🇮🇩The Daddies yang sukses melaju ke babak 16 besar #IndonesiaMasters usai tumbangkan pasangan Jepang…,https://twitter.com/kembarannyaimas/status/1617931560157843456,SPOTV_Indonesia,SPOTV_Indonesia,https://twitter.com/SPOTV_Indonesia/status/1617890585117102080,Retweet
beeltilljannah,beeltilljannah,1617931695893909505,2023-01-25 00:05:50,"RT @BadmintonLive1: Prakiraan jam main wakil Indonesia di #IndonesiaMasters2023 

DAY 2 - R32

R32
Start jam 08.00 WIB

Semangat Indonesiaa…",https://twitter.com/beeltilljannah/status/1617931695893909505,BadmintonLive1,BadmintonLive1,https://twitter.com/BadmintonLive1/status/1617906242923692035,Retweet
Team_Horee,Team_Horee,1617932662005698567,2023-01-25 00:09:41,"RT @ainurohman: Bermain biasa dan santai2 saja di game 1.

Melakukan tikungan tajam, bikin 5 pts beruntun utk mengambil game 2. 

Tampil se…",https://twitter.com/Team_Horee/status/1617932662005698567,ainurohman,ainurohman,https://twitter.com/ainurohman/status/1617854173063831559,Retweet
jnftrwfy,jnftrwfy,1617932897176158211,2023-01-25 00:10:37,"RT @BadmintonLive1: Fiuhhhh!! Akhirnya , hrus banget emng bikin jantungan dlu wkwkw

Congrats Bakri!! R16 vs Ren/Tan

#IndonesiaMasters2023…",https://twitter.com/jnftrwfy/status/1617932897176158211,BadmintonLive1,BadmintonLive1,https://twitter.com/BadmintonLive1/status/1617905483687538688,Retweet
TtsTetap,TtsTetap,1617932900565143553,2023-01-25 00:10:37,"RT @ainurohman: Fajar/Rian cepat kembali menemukan resep permainan terbaik setelah underperform di game 1. 

Terlihat, Yeremia butuh waktu…",https://twitter.com/TtsTetap/status/1617932900565143553,ainurohman,ainurohman,https://twitter.com/ainurohman/status/1617850946314469376,Retweet
jonaestheticc,jonaestheticc,1617933389063131141,2023-01-25 00:12:34,"RT @ainurohman: Bermain biasa dan santai2 saja di game 1.

Melakukan tikungan tajam, bikin 5 pts beruntun utk mengambil game 2. 

Tampil se…",https://twitter.com/jonaestheticc/status/1617933389063131141,ainurohman,ainurohman,https://twitter.com/ainurohman/status/1617854173063831559,Retweet
